Iteration 1: Loss=3.8240, PolicyEntropy=3.1308, Buffer=18440
Iteration 2: Loss=3.6517, PolicyEntropy=3.0763, Buffer=27896
Iteration 3: Loss=3.5553, PolicyEntropy=3.0125, Buffer=37256
Iteration 4: Loss=3.4551, PolicyEntropy=2.9228, Buffer=46392
Iteration 5: Loss=3.3608, PolicyEntropy=2.8523, Buffer=55576
Iteration 6: Loss=3.2576, PolicyEntropy=2.7557, Buffer=64216
Iteration 7: Loss=3.1753, PolicyEntropy=2.6712, Buffer=72744
Iteration 8: Loss=3.1098, PolicyEntropy=2.5858, Buffer=81760
Iteration 9: Loss=3.0294, PolicyEntropy=2.5275, Buffer=91008
Iteration 10: Loss=2.9882, PolicyEntropy=2.4628, Buffer=99896
Iteration 11: Loss=2.8881, PolicyEntropy=2.3665, Buffer=100000
Iteration 12: Loss=2.8184, PolicyEntropy=2.2507, Buffer=100000
Iteration 13: Loss=2.7238, PolicyEntropy=2.1762, Buffer=100000
Iteration 14: Loss=2.6231, PolicyEntropy=2.0935, Buffer=100000
Iteration 15: Loss=2.5650, PolicyEntropy=2.0299, Buffer=100000
Iteration 1: Loss=2.1302, PolicyEntropy=1.6797, Buffer=8736
Iteration 2: Loss=2.2259, PolicyEntropy=1.7091, Buffer=9624
Iteration 1: Loss=2.1235, PolicyEntropy=1.8183, Buffer=32576
Iteration 2: Loss=1.9707, PolicyEntropy=1.6634, Buffer=42080
Iteration 3: Loss=1.8973, PolicyEntropy=1.5666, Buffer=51136
Iteration 4: Loss=1.8757, PolicyEntropy=1.5019, Buffer=59960
Iteration 5: Loss=1.8658, PolicyEntropy=1.4702, Buffer=68856
Iteration 6: Loss=1.8946, PolicyEntropy=1.4535, Buffer=77960
Iteration 7: Loss=1.9312, PolicyEntropy=1.4367, Buffer=86472
Iteration 1: Loss=1.9597, PolicyEntropy=1.4487, Buffer=97480
Iteration 2: Loss=1.9648, PolicyEntropy=1.4339, Buffer=100000
Iteration 3: Loss=1.9972, PolicyEntropy=1.4335, Buffer=100000
Iteration 4: Loss=1.9668, PolicyEntropy=1.4005, Buffer=100000
Iteration 1: Loss=2.0107, PolicyEntropy=1.4287, Buffer=100000
Iteration 1: Loss=1.3978, PolicyEntropy=1.2513, Buffer=6040
Iteration 2: Loss=1.8601, PolicyEntropy=1.5231, Buffer=11712
Iteration 3: Loss=1.8733, PolicyEntropy=1.4688, Buffer=17536
Iteration 4: Loss=1.8278, PolicyEntropy=1.4003, Buffer=23480
Iteration 1: Loss=1.7099, PolicyEntropy=1.3293, Buffer=29792
Iteration 2: Loss=1.6542, PolicyEntropy=1.2947, Buffer=35696
Iteration 3: Loss=1.6364, PolicyEntropy=1.2604, Buffer=41392
Iteration 4: Loss=1.6554, PolicyEntropy=1.2505, Buffer=47336
Iteration 5: Loss=1.6696, PolicyEntropy=1.2633, Buffer=53048
Iteration 6: Loss=1.7045, PolicyEntropy=1.2895, Buffer=58888
Iteration 7: Loss=1.6816, PolicyEntropy=1.2942, Buffer=60000
Iteration 8: Loss=1.6524, PolicyEntropy=1.2619, Buffer=60000
Iteration 9: Loss=1.6227, PolicyEntropy=1.2531, Buffer=60000
Iteration 10: Loss=1.6351, PolicyEntropy=1.2410, Buffer=60000
Iteration 11: Loss=1.6266, PolicyEntropy=1.2283, Buffer=60000
Iteration 12: Loss=1.6358, PolicyEntropy=1.2349, Buffer=60000
